name,frequency_hz,duration_ms,n,echo_median,echo_iqr_lo,echo_iqr_hi,echo_min,echo_max,ambient_median,ambient_iqr_lo,ambient_iqr_hi,ambient_min,ambient_max
hello,2000,150,28,94.5,94.3,94.7,93.8,94.9,38.1,36.9,44.5,35.5,94.7
hi,3000,100,28,74.0,73.8,74.3,72.2,75.3,39.0,37.2,41.3,34.3,86.7
hey,1500,300,25,76.5,76.3,76.7,76.0,77.0,39.5,37.0,43.7,35.0,94.4
ping,4000,80,28,89.8,89.5,90.0,89.2,90.7,37.6,36.5,40.9,34.7,88.1
hum,500,400,27,69.6,69.5,69.7,69.3,69.9,39.5,37.1,43.2,34.9,69.7
call,2000,600,27,94.5,94.3,94.7,93.8,95.0,38.3,36.9,40.0,34.9,94.9
alert,3500,200,28,79.4,79.2,79.5,79.0,80.4,37.9,37.0,41.0,35.4,89.6
chirp,2500,100,27,69.8,69.5,70.2,68.5,72.0,38.3,36.8,39.8,35.0,94.9
low,800,250,29,76.2,76.0,76.3,75.3,76.9,39.2,37.7,42.0,35.6,61.4
long_hum,1500,800,29,76.5,76.4,76.7,76.0,77.3,37.6,36.4,40.8,34.3,76.7
