kind,name,effect_id,n,median,iqr_lo,iqr_hi,min,max
haptic,tap,1,30,0.343,0.329,0.353,0.310,0.403
haptic,soft_tap,7,30,0.343,0.329,0.353,0.324,0.382
haptic,double_tap,10,30,0.560,0.473,0.713,0.338,1.882
haptic,triple_tap,14,30,3.639,2.640,5.303,0.678,13.311
haptic,buzz,47,30,3.736,2.433,5.037,0.548,10.443
haptic,hum,52,30,2.291,1.728,4.969,0.411,15.197
haptic,long_buzz,49,30,0.546,0.411,1.435,0.348,4.924
haptic,heartbeat,10,30,0.626,0.475,0.783,0.337,2.390
haptic,knock,14,30,3.578,2.377,5.080,0.393,23.502
haptic,hello,24,30,0.334,0.329,0.342,0.307,0.368
haptic,alert,58,30,13.906,7.804,27.793,2.674,45.678
baseline,baseline,0,30,0.346,0.333,0.357,0.309,0.391
